Tue Sep 28 16:43:55 2021    devicecuda:0_parallelFalse.profile

         2201446 function calls (2065854 primitive calls) in 39.659 seconds

   Ordered by: cumulative time
   List reduced from 737 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.005    0.002   39.659   39.659 {built-in method builtins.exec}
        1    0.004    0.004   39.654   39.654 <string>:1(<module>)
        1    0.002    0.002   38.176   38.176 MB_DPPO.py:239(run)
        1    0.087    0.087   31.336   31.336 MB_DPPO.py:383(updateModel)
       50    0.257    0.005   28.750    0.575 MB_DPPO.py:677(updateModel)
106927/8857    1.798    0.000   13.995    0.002 module.py:522(__call__)
       55    0.047    0.001   13.575    0.247 models.py:444(train)
      245    0.227    0.001   13.500    0.055 models.py:490(forward)
       67    0.001    0.000    9.776    0.146 tensor.py:167(backward)
       67    0.005    0.000    9.775    0.146 __init__.py:44(backward)
    21322    1.054    0.000    9.770    0.000 container.py:98(forward)
       67    9.766    0.146    9.766    0.146 {method 'run_backward' of 'torch._C._EngineBase' objects}
       67    1.460    0.022    6.520    0.097 adam.py:49(step)
    37030    0.879    0.000    5.274    0.000 linear.py:86(forward)
      980    0.593    0.001    5.180    0.005 models.py:400(forward)
    37030    0.244    0.000    4.230    0.000 functional.py:1355(linear)
     3430    0.713    0.000    4.176    0.001 models.py:375(forward)
        1    0.109    0.109    3.774    3.774 MB_DPPO.py:516(updateAgent)
     3430    0.127    0.000    3.529    0.001 models.py:349(forward)
      301    0.056    0.000    3.306    0.011 utils.py:302(log)
    37030    3.291    0.000    3.291    0.000 {built-in method addmm}
     1378    3.183    0.002    3.183    0.002 {method 'cpu' of 'torch._C._TensorBase' objects}
        1    0.002    0.002    1.941    1.941 MB_DPPO.py:357(rollout_model)
    22064    0.168    0.000    1.591    0.000 activation.py:93(forward)
        1    0.001    0.001    1.475    1.475 MB_DPPO.py:190(__init__)
    31024    1.424    0.000    1.424    0.000 {method 'add_' of 'torch._C._TensorBase' objects}
    22064    0.070    0.000    1.423    0.000 functional.py:904(relu)
    22064    1.353    0.000    1.353    0.000 {built-in method relu}
        1    0.000    0.000    1.333    1.333 MB_DPPO.py:738(load_model)
    31024    1.307    0.000    1.307    0.000 {method 'mul_' of 'torch._C._TensorBase' objects}
       25    0.001    0.000    1.300    0.052 MB_DPPO.py:719(model_step)
       25    0.002    0.000    1.298    0.052 models.py:430(predict)
        5    0.028    0.006    1.210    0.242 MB_DPPO.py:704(validateModel)
        1    0.000    0.000    1.182    1.182 module.py:779(load_state_dict)
    646/1    0.008    0.000    1.182    1.182 module.py:807(load)
      646    0.548    0.001    1.174    0.002 module.py:703(_load_from_state_dict)
    15512    0.777    0.000    0.777    0.000 {method 'sqrt' of 'torch._C._TensorBase' objects}
     6885    0.756    0.000    0.756    0.000 {built-in method cat}
    15512    0.747    0.000    0.747    0.000 {method 'addcdiv_' of 'torch._C._TensorBase' objects}
     7040    0.169    0.000    0.741    0.000 MB_DPPO.py:94(getFraction)
       50    0.037    0.001    0.733    0.015 MB_DPPO.py:388(<listcomp>)
    24564    0.711    0.000    0.711    0.000 {method 'select' of 'torch._C._TensorBase' objects}
       34    0.017    0.001    0.703    0.021 MB_DPPO.py:457(act)
        1    0.006    0.006    0.680    0.680 MB_DPPO.py:318(rollout_env)
    37030    0.676    0.000    0.676    0.000 {method 't' of 'torch._C._TensorBase' objects}
      504    0.030    0.000    0.659    0.001 models.py:690(forward)
    15512    0.645    0.000    0.645    0.000 {method 'addcmul_' of 'torch._C._TensorBase' objects}
      490    0.505    0.001    0.505    0.001 {method 'copy_' of 'torch._C._TensorBase' objects}
    17892    0.143    0.000    0.502    0.000 container.py:142(__getitem__)
       57    0.001    0.000    0.487    0.009 std.py:1164(__iter__)


Tue Sep 28 16:43:55 2021    devicecuda:0_parallelFalse.profile

         2201446 function calls (2065854 primitive calls) in 39.659 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.005    0.002   39.659   39.659 {built-in method builtins.exec}
        1    0.004    0.004   39.654   39.654 <string>:1(<module>)
        1    0.002    0.002   38.176   38.176 MB_DPPO.py:239(run)
        1    0.087    0.087   31.336   31.336 MB_DPPO.py:383(updateModel)
       50    0.257    0.005   28.750    0.575 MB_DPPO.py:677(updateModel)
106927/8857    1.798    0.000   13.995    0.002 module.py:522(__call__)
       55    0.047    0.001   13.575    0.247 models.py:444(train)
      245    0.227    0.001   13.500    0.055 models.py:490(forward)
       67    0.001    0.000    9.776    0.146 tensor.py:167(backward)
       67    0.005    0.000    9.775    0.146 __init__.py:44(backward)
    21322    1.054    0.000    9.770    0.000 container.py:98(forward)
       67    9.766    0.146    9.766    0.146 {method 'run_backward' of 'torch._C._EngineBase' objects}
       67    1.460    0.022    6.520    0.097 adam.py:49(step)
    37030    0.879    0.000    5.274    0.000 linear.py:86(forward)
      980    0.593    0.001    5.180    0.005 models.py:400(forward)
    37030    0.244    0.000    4.230    0.000 functional.py:1355(linear)
     3430    0.713    0.000    4.176    0.001 models.py:375(forward)
        1    0.109    0.109    3.774    3.774 MB_DPPO.py:516(updateAgent)
     3430    0.127    0.000    3.529    0.001 models.py:349(forward)
      301    0.056    0.000    3.306    0.011 utils.py:302(log)
    37030    3.291    0.000    3.291    0.000 {built-in method addmm}
     1378    3.183    0.002    3.183    0.002 {method 'cpu' of 'torch._C._TensorBase' objects}
        1    0.002    0.002    1.941    1.941 MB_DPPO.py:357(rollout_model)
    22064    0.168    0.000    1.591    0.000 activation.py:93(forward)
        1    0.001    0.001    1.475    1.475 MB_DPPO.py:190(__init__)
    31024    1.424    0.000    1.424    0.000 {method 'add_' of 'torch._C._TensorBase' objects}
    22064    0.070    0.000    1.423    0.000 functional.py:904(relu)
    22064    1.353    0.000    1.353    0.000 {built-in method relu}
        1    0.000    0.000    1.333    1.333 MB_DPPO.py:738(load_model)
